job_title,job_id,employer_id,payment,description
DE Shaw Twitter: Follow + Retweet,b1befe34f477,Member_1014973,$0.75,"1. Go to this link - https://twitter.com/DEShawInsider/status/1176597146776289281
2. Follow this account on Twitter
3. Retweet this recent post
4. Take a screenshot of the repost"
Twitter Retweet: Post,18e83bc2b8ff,Member_984354,$0.10,1. Retweet this: https://twitter.com/smodelanalytics/status/1175893656198209542
Talkspace Twitter Follow,14e6852d9719,Member_1014973,$0.45,"1. Go to google.com

2. Search ""talkspace"" without quotations

3. Find their Twitter account on p1 or 2 of results

4. Follow that account, and close your browser window."
Highland Capital Management Twitter Likes,ac76461b526a,Member_1014973,$0.65,"1. Log in to your Twitter account (must have at least 150 followers to participate).
2. Find Highland Capital Management (@HighlandCapMgmt) on Twitter.
3. Follow the account.
4. Like four tweets tweeted by @HighlandCapMgmt"
Jeunesse Global Twitter Likes,b82c97a00285,Member_1014973,$0.65,"1. Log in to your Twitter account (must have at least 150 followers to participate).
2. Find Jeunesse Global (JeunesseHQ) on Twitter.
3. Follow the account.
4. Like four tweets tweeted by JeunesseHQ."
DE Shaw Twitter Followers,b1fa30661f01,Member_1014973,$0.65,"You must be based in the US to do this job
1. Go to this Twitter profile - https://twitter.com/DEShawInsider
2. Follow this account
3. Take a screenshot of the account
4. Exit browser"
Carsten Thiel Twitter Follow,673b0e51960e,Member_1014973,$0.65,"1. Go to https://twitter.com/_carstenthiel

2. Follow Carsten's account and like at least one tweet on his timeline, but not necessarily the first tweet."
Tim Ioannides Twitter Follow,76c70b7a3c63,Member_1014973,$0.65,"1. Go to https://twitter.com/IoannidesTim

2. Follow Tim's account and like at least one tweet on his timeline, but not necessarily the first tweet."
Omeed Malik Twitter Follow,a950632f4cc6,Member_1014973,$0.65,"1. Go to https://twitter.com/realomeedmalik

2. Follow Omeed's account and like at least one tweet on his timeline, but not necessarily the first tweet."
Twitter Follow + Comment + Retweet + Like + Share + Screenshot + Bonus: Post,18700f93beb9,Member_69213,$0.10,"1. Sign out from Google and go to below Twitter account.  Pick any post form the last 10, then do the following 

https://twitter.com/webcheckwriter

2. Follow us
3. Reply/Comment it/Suggest it
4. Retweet it with a suitable comment
5. Like it
6. Click URL and Visit that Page for 5 minutes,
7. Share the Page after visiting. You will see a vertical share button on the right side of the page. Share Multiple on your other social media and Get Bonus for Each Extra. Make sure publicly Shared

Bonus: Share that post in your other social media and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Share + Screenshot: U.S. Money Reserve (Forbes),2c136267fef7,Member_1014973,$0.65,"You must have 100 Twitter followers.

1. Log in to your Twitter account.
2. Make sure that your location is US.
3. Share this article on Twitter: https://www.forbes.com/sites/cherylrobinson/2019/06/21/angela-koch-us-money-reserve/
4. Close your browser"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot + Bonus: Post,d302d9b7bfed,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2Kkaee8
Key: 2288

2. Follow us
3. Reply/Comment it/Suggest it
4. Retweet it with a suitable comment
5. Like it
6. Click URL and Visit that Page for 5 minutes
7. Share the Page after visiting. You will see a vertical share button on the far right side of the page. Share Multiple on your other social media and Get Bonus for Each Extra. Make sure publicly Shared

Bonus: Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post (Bonus Included),9ce5afa4d362,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2IsPJJ2
Key: 2288

2. Follow us
3. Reply/Comment it/Suggest it
4. Retweet it with a suitable comment
5. Like it
6. Share it
7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post (Bonus Included),533d1bacda85,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2Iif3Bo
Key: 2288

2. Follow us
3. Reply/Comment it/Suggest it
4. Retweet it with a suitable comment
5. Like it
6. Share it
7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post (Bonus Included),e632c40d7134,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2MqT5l9
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post (Bonus Included),2a429697a2ba,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2Ers4Ya
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Bonus-Post,5fc4a2ac0235,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2JWcvew
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post (Bonus Included),27501e2a48e9,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2EhMYJk
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post (Bonus Included),33dcc25d7e1a,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2Ed5sus
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it
7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Bonus-Post,4ef8b2a9c920,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2JF2LFk
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Bonus-Post,022b240801ab,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2E78Y9o
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Bonus-Post,2a23e161b144,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2E8rkqD
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Bonus-Post,3094f27fedea,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2JE28ft
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Bonus-Post,725ed8a52c39,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2E8t3wf
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it
7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Bonus-Post,a06f1769f7d7,Member_69213,$0.31,"1. Sign out from Google and go to below URL for instructions:

http://bit.ly/2E5G5um
Key: 2288

2. Follow it
3. Comment it/Suggest it
4. Retweet it
5. Like it
6. Share it

7. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page- Share Multiple and Get Bonus for Each Extra. Make sure publicly Shared"
Mark Holyoake: Follow on Twitter,eedbc7d26ac4,Member_1014973,$0.46,"1. Find @MarkHolyoake5 on twitter
2. Follow the account"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,826a87db88dd,Member_69213,$0.31,"1. Go to this post: 
https://twitter.com/webcheckwriter/status/1121809364912762880

2. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page

3. Follow it
4. Comment it/Suggest it
5. Retweet it
6. Like it
7. Share it"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,b49cdeee9541,Member_69213,$0.31,"1. Go to this post: 
https://twitter.com/webcheckwriter/status/1121083072739307521

2. Click URL and Visit that Page for 5 minutes and share from that page. You will see a vertical share button on the far right side of the page

3. Follow it
4. Comment it/Suggest it
5. Retweet it
6. Like it
7. Share it"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,0d91763ede3b,Member_69213,$0.31,"1. Go to this post: 
https://twitter.com/webcheckwriter/status/1119656979306139648

2. Click URL in Post & Visit that Page
3. Follow it
4. Comment it
5. Retweet it
6. Like it
7. Share it"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,586f0793213c,Member_69213,$0.31,"1. Go to this post: https://twitter.com/webcheckwriter/status/1118576360413229056
2. Click URL in Post & Visit that Page
3. Follow it
4. Comment it
5. Retweet it
6. Like it
7. Share it"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,d4b0a34528b0,Member_69213,$0.31,"1. Go to this post: 
https://twitter.com/webcheckwriter/status/1118178492019908609

2. Click URL in Post & Visit Page
3. Follow it
4. Comment it
5. Retweet it
6. Like it
7. Share it"
Ashley Lightspeed Twitter Search/Follow,966d96e0023c,Member_1014973,$0.45,"1.Using Google.com search for ""ashley lightspeed"" (without quotes)

2. Stay on the results page for 30-60 seconds and scroll to the bottom of the page, but don’t click on any results. 

3. In the same browser, search for ""ashley brasier""

4. Find her Twitter on p1 and click through to her page 

5. Click to follow her account

6. Lastly, close windows!"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,e4d6401b44d6,Member_69213,$0.31,"1. Go to this post: https://twitter.com/webcheckwriter/status/1117846537218871296
2. Click URL in Post & Visit Page
3. Follow it
4. Comment it
5. Retweet it
6. Like it
7. Share it"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,36da2ac4dc50,Member_69213,$0.31,"1. Go to this post:
https://twitter.com/webcheckwriter/status/1116262613967466497

2. Click URL in Post & Visit Page
3. Follow it
4. Comment it
5. Retweet it
6. Like it
7. Share it"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,40c3d76acb93,Member_69213,$0.31,"1. Go to this post:
https://twitter.com/webcheckwriter/status/1116042874041262080

2. Click URL in Post & Visit Page
3. Follow it
4. Comment it
5. Retweet it
6. Like it
7. Share it"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,db6ff9c232c0,Member_69213,$0.31,"1. Go to this post:
https://twitter.com/webcheckwriter/status/1112515260123099137

2. Follow it
3. Comment it
4. Retweet it
5. Like it
6. Share it"
Twitter Follow + Comment + Retweet + Like + Share + Screenshot: Post,bc935ff2717a,Member_69213,$0.31,"1. Go to this post:
https://twitter.com/webcheckwriter/status/1111967930605023232

2. Follow it
3. Comment 
4. Retweet 
5. Like 
6. Share it"
Twitter: Follow + Comment + Retweet + Like + Share + Screenshot,c92ea061bae7,Member_69213,$0.56,"1. Go to this post:
https://twitter.com/sabeernelli/status/1111264137462665216

2. Follow it
3. Comment 
4. Retweet 
5. Like 
6. Share it"
Twitter Post: Link,0046969161af,Member_69213,$0.15,"1. Go to your Social Media- Must-Have 50+ Followers
2. Post/Share/Promote/suggest this Link: 

pic.twitter.com/u9Nt6ArUpi
onlinecheckwriter.com/  
Online #check-printing-software. Print Check in a few minutes, Business Checks or personal checks- TRY FREE Any Printer, Any Check Paper, Anywhere. Integrate with any Banks and prevent unauthorized checks, #QuickBooks."
Twitter Post: Link,64f2142d67ad,Member_69213,$0.45,"1. Go to your Social Media- Must-Have 50+ Followers
2. Post/Share/Promote/suggest this Link: 

pic.twitter.com/u9Nt6ArUpi
onlinecheckwriter.com/  
Online #check-printing-software. Print Check in a few minutes, Business Checks or personal checks- TRY FREE Any Printer, Any Check Paper, Anywhere. Integrate with any Banks & prevent unauthorized #checks, #QuickBooks."
Ashley Lightspeed Twitter Search/Follow,85deee06286c,Member_1014973,$0.65,"1.Using Google.com search for ""ashley lightspeed"" (without quotes)

2. Stay on the results page for 30-60 seconds and scroll to the bottom of the page, but don’t click on any results. 

3. In the same browser, search for ""ashley brasier""

4. Find her Twitter on p1 and click through to her page 

5. Click to follow her account

6. Lastly, close windows!"
Twitter Share + Screenshot: Rebel Wilson (Channel24),460da4c39da7,Member_1014973,$0.65,"You must have 100 Twitter followers.

1. Log in to your Twitter account.
2. Make sure that your location is US.
3. Share this article on Twitter: https://www.channel24.co.za/Movies/News/rebel-wilsons-new-movie-to-launch-on-netflix-sa-20190131
4. Close your browser"
Ashley Lightspeed Twitter Search/Follow,4fd2442e5b73,Member_1014973,$0.65,"1.Using Google.com search for ""ashley lightspeed"" (without quotes)

2. Stay on the results page for 30-60 seconds and scroll to the bottom of the page, but don’t click on any results. 

3. In the same browser, search for ""ashley brasier""

4. Find her Twitter on p1 and click through to her page 

5. Click to follow her account

6. Lastly, close windows!"
Twitter Share + Screenshot: Agera Energy,fd71ccbaee82,Member_1014973,$0.65,"You must have 100 Twitter followers.

1. Log in to your Twitter account.
2. Make sure that your location is US.
3. Share this video on Twitter: https://www.youtube.com/watch?v=txexYMbiR8o
4. Close your browser"
Twitter Share + Screenshot: Neurocore,ac021a324394,Member_1014973,$0.65,"You must have 100 Twitter followers.

1. Log in to your Twitter account.
2. Make sure that your location is US.
3. Share this video on Twitter: https://www.youtube.com/watch?v=epxlwFXyNd8
4. Close your browser"
Twitter Share + Screenshot: Rebel Wilson (dailymail),6aa6be5fa48a,Member_1014973,$0.65,"You must have 100 Twitter followers.

1. Log in to your Twitter account.
2. Make sure that your location is US.
3. Share this article on Twitter: https://www.dailymail.co.uk/tvshowbiz/article-6575377/Rebel-Wilson-poses-Priyanka-Chopra-set-Isnt-Romantic.html
4. Close your browser"
Twitter Share + Screenshot: Rebel Wilson (360nobs),8b3467027708,Member_1014973,$0.65,"You must have 100 Twitter followers.

1. Log in to your Twitter account.
2. Make sure that your location is US.
3. Share this article on Twitter: https://www.360nobs.com/2019/01/four-must-watch-movies-to-be-released-in-the-second-and-third-quarter-of-2019/
4. Close your browser"
Breast Augmentation: Search + Twitter Post,a7eea8e2627a,Member_971889,$0.65,"You must have 100+ Twitter followers to do this task.

1. Go to the link below and get your keyword, then search Google with the keyword provided:
https://spark.deallightning.com/keyword/c2lnbmFsMTY5NA==

2. On the services page of the site, find the breast augmentation page if Google didn't take you directly to it

3. Copy the link and tweet something about what you read on the page. Include the page URL in the tweet"
